name,red,green,blue,alpha,id
Ceiling,169,169,169,255,0
Floor,154,229,206,255,1
Wall,124,133,141,255,2
Window,102,0,204,255,3
Bed,125,218,3,255,4
Bed_Lamp,32,32,32,255,5
Bed_Table,102,255,0,255,6
Ceiling_Lamp,255,23,23,255,7
Chair,35,100,35,255,8
Coffee_Table,39,144,65,255,9
Cup,255,20,127,255,10
Decor,62,146,211,255,11
Digital_Clock,246,188,6,255,12
Dimmer,38,112,233,255,13
Door,175,32,45,255,14
Floor_Lamp,54,176,239,255,15
Journal,244,228,69,255,16
Kitchen,154,38,91,255,17
Picture,2,103,71,255,18
Plant,35,213,234,255,19
Plate,250,50,50,255,20
Remote,110,50,50,255,21
Sofa,50,80,110,255,22
Books,60,180,110,255,23
Table,160,80,110,255,24
Table_Decor,170,180,30,255,25
Tumblr,120,100,130,255,26
TV,90,60,30,255,27
Wall_Clock,90,60,130,255,28
Coffee_Machine,190,60,130,255,29
Laptop,70,160,130,255,30
