name,red,green,blue,alpha,id
Background,0,0,0,255,0
Window,102,0,204,255,1
Bed,125,218,3,255,2
Bed_Lamp,32,32,32,255,3
Bed_Table,102,255,0,255,4
Ceiling_Lamp,255,23,23,255,5
Chair,35,100,35,255,6
Coffee_Table,39,144,65,255,7
Cup,255,20,127,255,8
Decor,62,146,211,255,8
Digital_Clock,246,188,6,255,10
Dimmer,38,112,233,255,11
Door,175,32,45,255,12
Floor_Lamp,54,176,239,255,13
Journal,244,228,69,255,14
Kitchen,154,38,91,255,15
Picture,2,103,71,255,16
Plant,35,213,234,255,17
Plate,250,50,50,255,18
Remote,110,50,50,255,19
Sofa,50,80,110,255,20
Books,60,180,110,255,21
Table,160,80,110,255,22
Table_Decor,170,180,30,255,23
Tumblr,120,100,130,255,24
TV,90,60,30,255,25
Wall_Clock,90,60,130,255,26
Coffee_Machine,190,60,130,255,27
Laptop,70,160,130,255,28
