name,red,green,blue,alpha,id
Unknown,125,218,3,255,0
Wall,154,229,206,255,1
Floor,124,133,141,255,2
Ceiling,102,0,204,255,3
Door,169,169,169,255,4
Stairs,32,32,32,255,5
Structure,102,255,0,255,6
Shelf,255,23,23,255,7
Plant,35,100,35,255,8
Bed,39,144,65,255,9
Storage,255,20,127,255,10
Table,62,146,211,255,11
Chair,246,188,6,255,12
Wall_Decoration,38,112,233,255,13
Couch,175,32,45,255,14
Light,54,176,239,255,15
Appliance,244,228,69,255,16
Thing,154,38,91,255,17
Deformable,2,103,71,255,18
Dynamic_NonHuman,35,213,234,255,19
Human,250,50,50,255,20
