name,red,green,blue,alpha,id
person,255,42,4,255,0
bicycle,235,219,11,255,1
car,243,243,243,255,2
motorcycle,183,223,0,255,3
airplane,104,31,17,255,4
bus,221,111,255,255,5
train,79,68,255,255,6
truck,0,237,204,255,7
boat,68,243,0,255,8
traffic light,255,0,189,255,9
fire hydrant,255,180,0,255,10
stop sign,186,0,221,255,11
parking meter,255,255,0,255,12
bench,0,192,38,255,13
bird,179,255,1,255,14
cat,255,36,125,255,15
dog,104,0,123,255,16
horse,108,27,255,255,17
sheep,47,109,252,255,18
cow,11,255,162,255,19
elephant,158,60,238,255,20
bear,115,18,99,255,21
zebra,93,236,129,255,22
giraffe,55,163,76,255,23
backpack,253,148,94,255,24
umbrella,224,136,252,255,25
handbag,219,185,228,255,26
tie,44,154,203,255,27
suitcase,185,85,16,255,28
frisbee,15,84,188,255,29
skis,238,122,92,255,30
snowboard,167,158,55,255,31
sports ball,164,19,189,255,32
kite,159,55,213,255,33
baseball bat,143,93,50,255,34
baseball glove,244,248,119,255,35
skateboard,227,115,49,255,36
surfboard,42,11,164,255,37
tennis racket,70,179,190,255,38
bottle,54,68,39,255,39
wine glass,35,243,156,255,40
cup,109,111,192,255,41
fork,65,203,29,255,42
knife,239,18,227,255,43
spoon,6,92,125,255,44
bowl,4,200,199,255,45
banana,127,40,228,255,46
apple,125,134,182,255,47
sandwich,46,91,184,255,48
orange,225,227,77,255,49
broccoli,158,166,141,255,50
carrot,178,85,205,255,51
hot dog,206,1,130,255,52
pizza,67,74,81,255,53
donut,249,165,17,255,54
cake,105,199,107,255,55
chair,212,177,165,255,56
couch,217,194,226,255,57
potted plant,34,30,64,255,58
bed,180,91,91,255,59
dining table,160,228,226,255,60
toilet,203,113,179,255,61
tv,93,140,209,255,62
laptop,213,215,123,255,63
mouse,204,47,131,255,64
remote,42,69,157,255,65
keyboard,206,184,198,255,66
cell phone,192,242,100,255,67
microwave,172,156,105,255,68
oven,151,210,146,255,69
toaster,177,196,169,255,70
sink,103,188,33,255,71
refrigerator,29,101,86,255,72
book,115,147,212,255,73
clock,111,37,235,255,74
vase,102,123,38,255,75
scissors,233,157,3,255,76
teddy bear,145,130,212,255,77
hair drier,15,160,214,255,78
toothbrush,221,152,254,255,79
