name,red,green,blue,alpha,id
0,0,0,0,255,0
1,255,42,4,255,0
2,235,219,11,255,1
3,243,243,243,255,2
4,183,223,0,255,3
5,104,31,17,255,4
6,221,111,255,255,5
7,79,68,255,255,6
8,0,237,204,255,7
9,68,243,0,255,8
10,255,0,189,255,9
11,255,180,0,255,10
12,186,0,221,255,11
13,255,255,0,255,12
14,0,192,38,255,13
15,179,255,1,255,14
16,255,36,125,255,15
17,104,0,123,255,16
18,108,27,255,255,17
19,47,109,252,255,18
20,11,255,162,255,19
21,158,60,238,255,20
22,115,18,99,255,21
23,93,236,129,255,22
24,55,163,76,255,23
25,253,148,94,255,24
26,224,136,252,255,25
27,219,185,228,255,26
28,44,154,203,255,27
29,185,85,16,255,28
30,15,84,188,255,29
31,238,122,92,255,30
32,167,158,55,255,31
33,164,19,189,255,32
34,159,55,213,255,33
35,143,93,50,255,34
36,244,248,119,255,35
37,227,115,49,255,36
38,42,11,164,255,37
39,70,179,190,255,38
40,54,68,39,255,39
41,35,243,156,255,40
42,109,111,192,255,41
43,65,203,29,255,42
44,239,18,227,255,43
45,6,92,125,255,44
46,4,200,199,255,45
47,127,40,228,255,46
48,125,134,182,255,47
49,46,91,184,255,48
50,225,227,77,255,49
51,158,166,141,255,50
52,178,85,205,255,51
53,206,1,130,255,52
54,67,74,81,255,53
55,249,165,17,255,54
56,105,199,107,255,55
57,212,177,165,255,56
58,217,194,226,255,57
59,34,30,64,255,58
60,180,91,91,255,59
61,160,228,226,255,60
62,203,113,179,255,61
63,93,140,209,255,62
64,213,215,123,255,63
65,204,47,131,255,64
66,42,69,157,255,65
67,206,184,198,255,66
68,192,242,100,255,67
69,172,156,105,255,68
70,151,210,146,255,69
71,177,196,169,255,70
72,103,188,33,255,71
73,29,101,86,255,72
74,115,147,212,255,73
75,111,37,235,255,74
76,102,123,38,255,75
77,233,157,3,255,76
78,145,130,212,255,77
79,15,160,214,255,78
80,221,152,254,255,79
